value,label,start,end,likelihood,sample_idx,id
Bachmayr,PERSON_NAME,275,283,POSSIBLE,50835,76797C
godail@yahoo.com,EMAIL_ADDRESS,0,16,LIKELY,50981,76860B
Ott,PERSON_NAME,43,46,POSSIBLE,50981,76860B
9482MG@yahoo.com,EMAIL_ADDRESS,279,295,VERY_LIKELY,50981,76860B
Rijswijk,LOCATION,166,174,LIKELY,41825,72572A
1016 CH,LOCATION,241,248,LIKELY,38643,71104A
Netherlands,LOCATION,250,261,LIKELY,38643,71104A
"Keizersgracht 456, 89, 1016 CH, Netherlands",STREET_ADDRESS,218,261,LIKELY,38643,71104A
1948,DATE_OF_BIRTH,349,353,POSSIBLE,38643,71104A
weirauch@gmail.com,EMAIL_ADDRESS,376,394,VERY_LIKELY,38643,71104A
Guagenti,PERSON_NAME,25,33,LIKELY,36622,70146B
Guagenti,LAST_NAME,25,33,LIKELY,36622,70146B
Ciancarelli,PERSON_NAME,55,66,LIKELY,36622,70146B
Ciancarelli,LAST_NAME,55,66,LIKELY,36622,70146B
RRW@protonmail.com,EMAIL_ADDRESS,98,116,VERY_LIKELY,36622,70146B
Waseem,PERSON_NAME,178,184,LIKELY,36622,70146B
Waseem,FIRST_NAME,178,184,LIKELY,36622,70146B
Waseem,FEMALE_NAME,178,184,POSSIBLE,36622,70146B
Waseem,MALE_NAME,178,184,POSSIBLE,36622,70146B
M@aol.com,EMAIL_ADDRESS,214,223,POSSIBLE,36622,70146B
1940cristofani@outlook.com,EMAIL_ADDRESS,279,305,VERY_LIKELY,36622,70146B
Cristofani,PERSON_NAME,325,335,LIKELY,36622,70146B
Cristofani,LAST_NAME,325,335,LIKELY,36622,70146B
saiörgüc@gmail.com,EMAIL_ADDRESS,16,36,VERY_LIKELY,38148,70869B
munraphnvsf741050@gmail.com,EMAIL_ADDRESS,127,154,VERY_LIKELY,38148,70869B
2004d@yahoo.com,EMAIL_ADDRESS,244,259,VERY_LIKELY,38148,70869B
09BJB@outlook.com,EMAIL_ADDRESS,344,361,VERY_LIKELY,38148,70869B
Nederland,LOCATION,18,27,LIKELY,50429,76586D
Tondensestraat,LOCATION,78,92,LIKELY,50429,76586D
Brummen Tonden,LOCATION,94,108,LIKELY,50429,76586D
"649, Tondensestraat, Brummen Tonden, GE, 6975",STREET_ADDRESS,73,118,LIKELY,50429,76586D
Nederland,LOCATION,434,443,LIKELY,50429,76586D
Gelieve,PERSON_NAME,57,64,POSSIBLE,52128,77389B
UC13@outlook.com,EMAIL_ADDRESS,200,216,VERY_LIKELY,52128,77389B
prajakta,PERSON_NAME,111,119,POSSIBLE,51664,77173A
prajakta,FIRST_NAME,111,119,POSSIBLE,51664,77173A
prajakta,FEMALE_NAME,111,119,POSSIBLE,51664,77173A
prajakta,MALE_NAME,111,119,POSSIBLE,51664,77173A
prajakta.eppenberger@hotmail.com,EMAIL_ADDRESS,111,143,VERY_LIKELY,51664,77173A
