start,end,value,type,sample_idx
30.0,44.0,04938734727928,PHONE_NUMBER,50835
54.0,60.0,Mesics,PERSON_NAME,50835
275.0,283.0,Bachmayr,PERSON_NAME,50835
287.0,296.0,Gugacoski,PERSON_NAME,50835
0.0,16.0,godail@yahoo.com,EMAIL_ADDRESS,50981
43.0,64.0,Ott.God.23.F.25.4.BSP,STREET_ADDRESS,50981
88.0,98.0,ALT829681K,STREET_ADDRESS,50981
115.0,125.0,8325555634,STREET_ADDRESS,50981
141.0,179.0,3010:e2a:c788:b433:4ace:fcd6:3f88:fa01,STREET_ADDRESS,50981
219.0,225.0,Godail,PERSON_NAME,50981
279.0,295.0,9482MG@yahoo.com,EMAIL_ADDRESS,50981
322.0,331.0,576515879,STREET_ADDRESS,50981
355.0,358.0,TEP,STREET_ADDRESS,50981
375.0,381.0,8F63XV,STREET_ADDRESS,50981
131.0,141.0,27/03/1976,DATE_OF_BIRTH,41825
157.0,174.0,Rijswijk Rijswijk,LOCATION,41825
89.0,104.0,"april 19e, 1998",DATE_OF_BIRTH,38643
207.0,261.0,"Amsterdam, Keizersgracht 456, 89, 1016 CH, Netherlands",LOCATION,38643
311.0,316.0,34MPW,PERSON_NAME,38643
337.0,353.0,"januari 3e, 1948",DATE_OF_BIRTH,38643
376.0,394.0,weirauch@gmail.com,EMAIL_ADDRESS,38643
432.0,437.0,58284,US_SOCIAL_SECURITY_NUMBER,38643
25.0,33.0,Guagenti,PERSON_NAME,36622
55.0,66.0,Ciancarelli,PERSON_NAME,36622
98.0,116.0,RRW@protonmail.com,EMAIL_ADDRESS,36622
136.0,147.0,Reichhalter,PERSON_NAME,36622
178.0,184.0,Waseem,PERSON_NAME,36622
214.0,223.0,M@aol.com,EMAIL_ADDRESS,36622
241.0,247.0,Makkai,PERSON_NAME,36622
279.0,305.0,1940cristofani@outlook.com,EMAIL_ADDRESS,36622
325.0,335.0,Cristofani,PERSON_NAME,36622
75.0,80.0,Hirka,PERSON_NAME,41712
110.0,115.0,Sa'id,PERSON_NAME,41712
174.0,180.0,Majoor,PERSON_NAME,41712
214.0,217.0,FVF,PERSON_NAME,41712
246.0,252.0,UYI36X,PERSON_NAME,41712
349.0,352.0,Lui,PERSON_NAME,41712
149.0,164.0,sumesgutner1990,PERSON_NAME,41183
293.0,303.0,11schriefl,PERSON_NAME,41183
16.0,34.0,saiörgüc@gmail.com,EMAIL_ADDRESS,38148
51.0,63.0,K90DO3KX8IS3,CREDIT_CARD_NUMBER,38148
