value,type
"Gooweg 44, Noordwijkerhout Noordwijkerhout, ZH, 2211 XX",STREET_ADDRESS
Iljina Doksandokuz,PERSON_NAME
"Chemin de la Grange-des-Bois 164, 1553 Châtonnaye",STREET_ADDRESS
Lorca.310134.lk.841,PERSON_NAME
6 North Beeline Highway Fort McDowell AZ 85264,STREET_ADDRESS
902 Pitts Point Road Lebanon Junction KY 40150,STREET_ADDRESS
Leili Zaho Loum,PERSON_NAME
Forouzan Namiye Rugel,PERSON_NAME
"702 Boltslaw Incline, Consett Blanchland, ENG",LOCATION
Vesa Roberto,PERSON_NAME
Sou Vojo,PERSON_NAME
442 Chapel Lane Bury Saint Edmunds Brockley ENG IP29 PB 384,STREET_ADDRESS
"560 Dawley Road, Hayes, ENG, UB3 1EF, UB3 1EJ",LOCATION
"670 Houtbroekdijk, Someren, NB 5711 PM",STREET_ADDRESS
"353 Avenue Morane-Saulnier, Vélizy-Villacoublay, Île-de-France, 78140",STREET_ADDRESS
Dorit Kern Rosinski Dynes,PERSON_NAME
Kázik,PERSON_NAME
"69 Am Heller, Bosau, Schleswig-Holstein 23715",STREET_ADDRESS
"947 Unter den Eichen, Burgstall, Sachsen-Anhalt, 39",STREET_ADDRESS
"Karlsruher Straße 19, 74889 Sinsheim, BW, DE",LOCATION
"La Stráda di Piètt 787, 6677 Maggia Moghegno, Tessin, Schweiz",LOCATION
Adwoa Warshin Gschwender Balastèr,PERSON_NAME
Giorgio Rossi,PERSON_NAME
Zulfiyya Inela Thelen Jinchai Körösy,PERSON_NAME
Drian,PERSON_NAME
Marvi Chrapek,PERSON_NAME
Mirem Cabra,PERSON_NAME
Ruifeng Mellul,PERSON_NAME
"Universidad de Barcelona, Av. Diagonal, 123, 08028 Barcelona",LOCATION
"390 Carretera de Arnes a Prat de Comte, Horta de Sant Joan, CT 43596",STREET_ADDRESS
"Calle Muelle de los Pórticos, 775, 33299, Gijón Jove, AS",STREET_ADDRESS
Kyliane Maala Thowfeek,PERSON_NAME
Mortaza Kengatharan,PERSON_NAME
