start,end,value,type,sample_idx
30.0,44.0,04938734727928,PHONE_NUMBER,50835
0.0,16.0,godail@yahoo.com,EMAIL_ADDRESS,50981
279.0,295.0,9482MG@yahoo.com,EMAIL_ADDRESS,50981
219.0,225.0,Godail,PERSON_NAME,50981
131.0,141.0,27/03/1976,DATE_OF_BIRTH,41825
157.0,165.0,Rijswijk,LOCATION,41825
166.0,174.0,Rijswijk,LOCATION,41825
214.0,228.0,sociaalnummers,US_SOCIAL_SECURITY_NUMBER,41825
376.0,394.0,weirauch@gmail.com,EMAIL_ADDRESS,38643
337.0,353.0,"januari 3e, 1948",DATE_OF_BIRTH,38643
89.0,104.0,"april 19e, 1998",DATE_OF_BIRTH,38643
207.0,261.0,"Amsterdam, Keizersgracht 456, 89, 1016 CH, Netherlands",STREET_ADDRESS,38643
311.0,316.0,34MPW,PERSON_NAME,38643
432.0,437.0,58284,US_SOCIAL_SECURITY_NUMBER,38643
98.0,116.0,RRW@protonmail.com,EMAIL_ADDRESS,36622
214.0,223.0,M@aol.com,EMAIL_ADDRESS,36622
241.0,247.0,Makkai,PERSON_NAME,36622
279.0,305.0,1940cristofani@outlook.com,EMAIL_ADDRESS,36622
325.0,335.0,Cristofani,PERSON_NAME,36622
75.0,80.0,Hirka,PERSON_NAME,41712
110.0,115.0,Sa'id,PERSON_NAME,41712
214.0,217.0,FVF,CREDIT_CARD_NUMBER,41712
246.0,252.0,UYI36X,PHONE_NUMBER,41712
149.0,164.0,sumesgutner1990,PERSON_NAME,41183
293.0,303.0,11schriefl,PERSON_NAME,41183
16.0,34.0,saiörgüc@gmail.com,EMAIL_ADDRESS,38148
125.0,152.0,munraphnvsf741050@gmail.com,EMAIL_ADDRESS,38148
242.0,257.0,2004d@yahoo.com,EMAIL_ADDRESS,38148
342.0,359.0,09BJB@outlook.com,EMAIL_ADDRESS,38148
73.0,108.0,"649, Tondensestraat, Brummen Tonden",STREET_ADDRESS,50429
18.0,27.0,Nederland,LOCATION,50429
434.0,443.0,Nederland,LOCATION,50429
428.0,454.0,22 in Nederland op juli/57,DATE_OF_BIRTH,50429
200.0,216.0,UC13@outlook.com,EMAIL_ADDRESS,52128
235.0,244.0,K61696156,PERSON_NAME,52128
264.0,279.0,V6 13 XL9ALLC 4,PERSON_NAME,52128
298.0,307.0,K68Q3394A,PERSON_NAME,52128
114.0,125.0,LASTNAME1_A,PERSON_NAME,52128
111.0,143.0,prajakta.eppenberger@hotmail.com,EMAIL_ADDRESS,51664
79.0,97.0,"november 19e, 1949",DATE_OF_BIRTH,51664
345.0,378.0,nural.gharsellaoui@protonmail.com,EMAIL_ADDRESS,51664
315.0,331.0,14e januari 1974,DATE_OF_BIRTH,51664
6.0,19.0,Nieuwe Zeeweg,STREET_ADDRESS,41588
28.0,37.0,Noordwijk,LOCATION,41588
47.0,59.0,Zuid-Holland,LOCATION,41588
72.0,79.0,2201 TM,LOCATION,41588
288.0,299.0,augustus/95,PERSON_NAME,50180
392.0,433.0,"970, Zaandammerdijk, De Waal, NH, 1793 EN",STREET_ADDRESS,50180
104.0,114.0,21/03/1987,DATE_OF_BIRTH,48747
269.0,279.0,20/06/1953,DATE_OF_BIRTH,48747
117.0,133.0,Y@protonmail.com,EMAIL_ADDRESS,40485
