sample_idx,start,end,value,type
50981,0.0,16.0,godail@yahoo.com,EMAIL_ADDRESS
50981,279.0,295.0,9482MG@yahoo.com,EMAIL_ADDRESS
50981,322.0,331.0,576515879,PHONE_NUMBER
50981,88.0,98.0,ALT829681K,IDENTIFICATION_NUMBER
50981,375.0,381.0,8F63XV,RIVER_DRIVER_LICENSE
50981,219.0,225.0,Godail,PERSON_NAME
41825,131.0,141.0,27/03/1976,DATE_OF_BIRTH
41825,157.0,165.0,Rijswijk,LOCATION
41825,166.0,174.0,Rijswijk,LOCATION
38643,432.0,437.0,58284,US_SOCIAL_SECURITY_NUMBER
38643,337.0,353.0,"januari 3e, 1948",DATE_OF_BIRTH
38643,376.0,394.0,weirauch@gmail.com,EMAIL_ADDRESS
36622,98.0,116.0,RRW@protonmail.com,EMAIL_ADDRESS
36622,214.0,223.0,M@aol.com,EMAIL_ADDRESS
36622,279.0,305.0,1940cristofani@outlook.com,EMAIL_ADDRESS
36622,25.0,33.0,Guagenti,PERSON_NAME
36622,55.0,66.0,Ciancarelli,PERSON_NAME
36622,136.0,147.0,Reichhalter,PERSON_NAME
36622,178.0,184.0,Waseem,PERSON_NAME
36622,241.0,247.0,Makkai,PERSON_NAME
36622,325.0,335.0,Cristofani,PERSON_NAME
52128,200.0,216.0,UC13@outlook.com,EMAIL_ADDRESS
52128,235.0,244.0,K61696156,US_SOCIAL_SECURITY_NUMBER
52128,298.0,307.0,K68Q3394A,PASSPORT_NUMBER
52128,175.0,189.0,oripbyey158674,PERSON_NAME
48747,104.0,114.0,21/03/1987,DATE_OF_BIRTH
48747,120.0,128.0,19:17:03,DATE_OF_BIRTH
48747,269.0,279.0,20/06/1953,DATE_OF_BIRTH
48747,285.0,290.0,10:06,DATE_OF_BIRTH
40485,117.0,133.0,Y@protonmail.com,EMAIL_ADDRESS
40485,139.0,150.0,0K3189Y23I0,CREDIT_CARD_NUMBER
40485,156.0,165.0,Nederland,LOCATION
40485,180.0,189.0,Schansweg,STREET_ADDRESS
40485,195.0,206.0,Haaksbergen,LOCATION
40485,220.0,227.0,7481 TK,STREET_ADDRESS
38922,64.0,99.0,2003zhenfeng.eldalgamouni@yahoo.com,EMAIL_ADDRESS
38922,183.0,209.0,peppo.obadar46@hotmail.com,EMAIL_ADDRESS
38922,292.0,317.0,watiyfsz30@protonmail.com,EMAIL_ADDRESS
38922,400.0,427.0,qexoskzftgtzyz89371@aol.com,EMAIL_ADDRESS
51986,26.0,36.0,28/08/1972,DATE_OF_BIRTH
51986,103.0,118.0,"maart 18e, 1985",DATE_OF_BIRTH
51986,190.0,209.0,1961-09-13T00:00:00,DATE_OF_BIRTH
56114,105.0,117.0,08117-379894,PHONE_NUMBER
56114,148.0,164.0,0012 88.746.2536,PHONE_NUMBER
56114,72.0,81.0,Therapeut,PERSON_NAME
56114,84.0,93.0,Therapeut,PERSON_NAME
56114,204.0,213.0,Therapeut,PERSON_NAME
56114,119.0,126.0,Patiënt,PERSON_NAME
56114,129.0,136.0,Patiënt,PERSON_NAME
56114,273.0,280.0,Patiënt,PERSON_NAME
34365,53.0,64.0,december/03,DATE_OF_BIRTH
34365,106.0,117.0,december/03,DATE_OF_BIRTH
34365,151.0,175.0,soukcraciunesc@yahoo.com,EMAIL_ADDRESS
34365,260.0,279.0,1982-03-08T00:00:00,DATE_OF_BIRTH
34365,321.0,340.0,1982-03-08T00:00:00,DATE_OF_BIRTH
34365,374.0,403.0,tkcwncakccuqbws161951@aol.com,EMAIL_ADDRESS
34365,441.0,444.0,HZE,PAS_NUMBER
58284,99.0,107.0,gangneux,PERSON_NAME
58284,140.0,156.0,04AJGG@gmail.com,EMAIL_ADDRESS
58284,179.0,188.0,6RPB83IGO,RIVERWJSNUMMER
58284,200.0,202.0,NL,LOCATION
58284,215.0,247.0,"126, Voldijkje, Goirle, NB, 5053",STREET_ADDRESS
58284,243.0,247.0,5053,POSTCODE
32384,16.0,29.0,1991ashamsaie,PERSON_NAME
32384,62.0,78.0,756.0988.8585.40,US_SOCIAL_SECURITY_NUMBER
32384,96.0,104.0,J8229188,PASSPORT
45675,351.0,360.0,Koudinova,PERSON_NAME
45675,381.0,385.0,1944,DATE_OF_BIRTH
55626,304.0,314.0,02/12/2002,DATE_OF_BIRTH
55626,287.0,298.0,"52.526, 4.9",LOCATION
