sample_idx,start,end,value,type
50981,0.0,16.0,godail@yahoo.com,EMAIL_ADDRESS
50981,279.0,295.0,9482MG@yahoo.com,EMAIL_ADDRESS
50981,219.0,225.0,Godail,PERSON_NAME
41825,131.0,141.0,27/03/1976,DATE_OF_BIRTH
41825,157.0,174.0,Rijswijk Rijswijk,LOCATION
38643,89.0,104.0,"april 19e, 1998",DATE_OF_BIRTH
38643,207.0,261.0,"Amsterdam, Keizersgracht 456, 89, 1016 CH, Netherlands",LOCATION
38643,311.0,316.0,34MPW,PERSON_NAME
38643,337.0,353.0,"januari 3e, 1948",DATE_OF_BIRTH
38643,376.0,394.0,weirauch@gmail.com,EMAIL_ADDRESS
38643,432.0,437.0,58284,US_SOCIAL_SECURITY_NUMBER
36622,98.0,116.0,RRW@protonmail.com,EMAIL_ADDRESS
36622,214.0,223.0,M@aol.com,EMAIL_ADDRESS
36622,279.0,305.0,1940cristofani@outlook.com,EMAIL_ADDRESS
41712,75.0,80.0,Hirka,PERSON_NAME
41712,110.0,115.0,Sa'id,PERSON_NAME
41183,149.0,164.0,sumesgutner1990,PERSON_NAME
38148,16.0,34.0,saiörgüc@gmail.com,EMAIL_ADDRESS
38148,51.0,63.0,K90DO3KX8IS3,LOCATION
38148,125.0,152.0,munraphnvsf741050@gmail.com,EMAIL_ADDRESS
38148,169.0,178.0,136817886,LOCATION
38148,242.0,257.0,2004d@yahoo.com,EMAIL_ADDRESS
38148,274.0,286.0,3EN449QTJDYF,LOCATION
38148,342.0,359.0,09BJB@outlook.com,EMAIL_ADDRESS
38148,376.0,382.0,GU5E01,LOCATION
50429,73.0,118.0,"649, Tondensestraat, Brummen Tonden, GE, 6975",STREET_ADDRESS
50429,232.0,245.0,57.173.135.96,LOCATION
50429,447.0,454.0,juli/57,DATE_OF_BIRTH
52128,200.0,216.0,UC13@outlook.com,EMAIL_ADDRESS
52128,235.0,244.0,K61696156,US_SOCIAL_SECURITY_NUMBER
52128,264.0,279.0,V6 13 XL9ALLC 4,US_SOCIAL_SECURITY_NUMBER
52128,298.0,307.0,K68Q3394A,US_SOCIAL_SECURITY_NUMBER
51664,79.0,97.0,"november 19e, 1949",DATE_OF_BIRTH
51664,111.0,143.0,prajakta.eppenberger@hotmail.com,EMAIL_ADDRESS
51664,158.0,167.0,AS17639IB,LOCATION
51664,189.0,207.0,PRAJA.461199.9.914,LOCATION
51664,218.0,255.0,2253:1c8:eecc:fae8:542f:9d93:6e8:5062,LOCATION
51664,268.0,273.0,03:13,LOCATION
51664,315.0,331.0,14e januari 1974,DATE_OF_BIRTH
51664,345.0,378.0,nural.gharsellaoui@protonmail.com,EMAIL_ADDRESS
51664,393.0,396.0,PWS,LOCATION
51664,418.0,427.0,21AYSECQX,LOCATION
51664,438.0,472.0,17a0:dd81:c427:c2b4:a307:7889:c853,LOCATION
41588,6.0,19.0,Nieuwe Zeeweg,LOCATION
41588,28.0,37.0,Noordwijk,LOCATION
41588,47.0,59.0,Zuid-Holland,LOCATION
41588,72.0,79.0,2201 TM,LOCATION
50180,288.0,299.0,augustus/95,DATE_OF_BIRTH
50180,344.0,346.0,NL,LOCATION
50180,392.0,433.0,"970, Zaandammerdijk, De Waal, NH, 1793 EN",STREET_ADDRESS
48747,104.0,114.0,21/03/1987,DATE_OF_BIRTH
48747,269.0,279.0,20/06/1953,DATE_OF_BIRTH
40485,117.0,133.0,Y@protonmail.com,EMAIL_ADDRESS
40485,139.0,150.0,0K3189Y23I0,CREDIT_CARD_NUMBER
40485,156.0,165.0,Nederland,LOCATION
40485,180.0,189.0,Schansweg,STREET_ADDRESS
40485,195.0,206.0,Haaksbergen,LOCATION
40485,212.0,214.0,OV,LOCATION
40485,220.0,227.0,7481 TK,STREET_ADDRESS
43502,271.0,283.0,018 744-4782,PHONE_NUMBER
32312,472.0,486.0,Folasade Viali,PERSON_NAME
38922,64.0,99.0,2003zhenfeng.eldalgamouni@yahoo.com,EMAIL_ADDRESS
38922,183.0,209.0,peppo.obadar46@hotmail.com,EMAIL_ADDRESS
38922,292.0,317.0,watiyfsz30@protonmail.com,EMAIL_ADDRESS
38922,400.0,427.0,qexoskzftgtzyz89371@aol.com,EMAIL_ADDRESS
38922,152.0,169.0,30e december 2015,DATE_OF_BIRTH
38922,261.0,278.0,30e december 2015,DATE_OF_BIRTH
