start,end,value,type,sample_idx
30.0,44.0,04938734727928,PHONE_NUMBER,50835
54.0,60.0,Mesics,PERSON_NAME,50835
0.0,16.0,godail@yahoo.com,EMAIL_ADDRESS,50981
43.0,64.0,Ott.God.23.F.25.4.BSP,PHONE_NUMBER,50981
88.0,98.0,ALT829681K,CREDIT_CARD_NUMBER,50981
115.0,125.0,8325555634,RIJ_BEWIS_NUMBER,50981
141.0,179.0,3010:e2a:c788:b433:4ace:fcd6:3f88:fa01,IP_ADRES_ADDRESS,50981
196.0,201.0,05:09,DATE_OF_BIRTH,50981
219.0,225.0,Godail,PERSON_NAME,50981
311.0,316.0,34MPW,PERSON_NAME,38643
376.0,394.0,weirauch@gmail.com,EMAIL_ADDRESS,38643
432.0,437.0,58284,SOCIAL_SECURITY_NUMBER,38643
98.0,116.0,RRW@protonmail.com,EMAIL_ADDRESS,36622
136.0,147.0,Reichhalter,PERSON_NAME,36622
214.0,223.0,M@aol.com,EMAIL_ADDRESS,36622
241.0,247.0,Makkai,PERSON_NAME,36622
325.0,335.0,Cristofani,PERSON_NAME,36622
349.0,352.0,Lui,PERSON_NAME,41712
40.0,48.0,huiswerk,homework,33546
168.0,176.0,huiswerk,homework,33546
28.0,36.0,feedback,feedback,33546
176.0,186.0,opdrachten,assignments,33546
336.0,346.0,opdrachten,assignments,33546
113.0,119.0,fouten,errors,33546
329.0,335.0,fouten,errors,33546
99.0,104.0,leren,learning,33546
70.0,79.0,studenten,students,33546
54.0,59.0,duren,duration,33546
149.0,164.0,sumesgutner1990,PERSON_NAME,41183
293.0,303.0,11schriefl,PERSON_NAME,41183
331.0,350.0,progressieve spiero,LOCATION,41183
16.0,34.0,saiörgüc@gmail.com,EMAIL_ADDRESS,38148
125.0,152.0,munraphnvsf741050@gmail.com,EMAIL_ADDRESS,38148
242.0,257.0,2004d@yahoo.com,EMAIL_ADDRESS,38148
376.0,382.0,GU5E01,Rijbewijs,38148
18.0,27.0,Nederland,LOCATION,50429
434.0,443.0,Nederland,LOCATION,50429
78.0,92.0,Tondensestraat,STREET_ADDRESS,50429
73.0,118.0,"649, Tondensestraat, Brummen Tonden, GE, 6975",ADDRESS,50429
174.0,183.0,Cabin 332,ADDRESS,50429
232.0,245.0,57.173.135.96,IP_ADRES,50429
296.0,302.0,a9Ic0_,WACHWOOD,50429
347.0,351.0,8:07,TID,50429
200.0,216.0,UC13@outlook.com,EMAIL_ADDRESS,52128
235.0,244.0,K61696156,ID-CARDNUMBER,52128
