sample_idx,start,end,value,type
41712,75.0,80.0,Hirka,PERSON_NAME
41712,110.0,115.0,Sa'id,PERSON_NAME
41712,349.0,352.0,Lui,PERSON_NAME
41712,214.0,217.0,FVF,US_SOCIAL_SECURITY_NUMBER
52128,175.0,189.0,oripbyey158674,USERNAME
52128,200.0,216.0,UC13@outlook.com,EMAIL_ADDRESS
52128,235.0,244.0,K61696156,ID_NUMBER
52128,264.0,279.0,V6 13 XL9ALLC 4,LICENSE_NUMBER
52128,298.0,307.0,K68Q3394A,PASSPORT_NUMBER
52128,114.0,125.0,LASTNAME1_A,PERSON_NAME
51664,79.0,97.0,"november 19e, 1949",DATE_OF_BIRTH
51664,111.0,143.0,prajakta.eppenberger@hotmail.com,EMAIL_ADDRESS
51664,158.0,167.0,AS17639IB,IDCARD
51664,189.0,207.0,PRAJA.461199.9.914,DRIVERLICENSE
51664,218.0,255.0,2253:1c8:eecc:fae8:542f:9d93:6e8:5062,IP
51664,345.0,378.0,nural.gharsellaoui@protonmail.com,EMAIL_ADDRESS
51664,315.0,331.0,14e januari 1974,DATE_OF_BIRTH
51664,438.0,472.0,17a0:dd81:c427:c2b4:a307:7889:c853,IP
50180,288.0,296.0,augustus,PERSON_NAME
50180,344.0,346.0,NL,LOCATION
50180,392.0,433.0,"970, Zaandammerdijk, De Waal, NH, 1793 EN",STREET_ADDRESS
50180,488.0,491.0,03/,DATE_OF_BIRTH
58284,140.0,156.0,04AJGG@gmail.com,EMAIL_ADDRESS
58284,179.0,188.0,6RPB83IGO,CREDIT_CARD_NUMBER
58284,243.0,247.0,5053,LOCATION
58284,350.0,354.0,8322,LOCATION
58284,99.0,107.0,gangneux,PERSON_NAME
45675,351.0,360.0,Koudinova,PERSON_NAME
45675,381.0,385.0,1944,DATE_OF_BIRTH
41980,213.0,227.0,"juli 11e, 1995",DATE_OF_BIRTH
41980,313.0,316.0,GCH,US_SOCIAL_SECURITY_NUMBER
41980,333.0,343.0,Q75U2C7LDN,CREDIT_CARD_NUMBER
41980,359.0,372.0,68.19.239.142,IP_ADDRESS
41980,274.0,277.0,Man,PERSON_NAME
41980,294.0,297.0,Man,PERSON_NAME
44229,122.0,132.0,12/02/1939,DATE_OF_BIRTH
44229,282.0,298.0,12e oktober 1984,DATE_OF_BIRTH
44229,138.0,146.0,C3066099,CREDIT_CARD_NUMBER
44229,304.0,313.0,3HDD9PF7K,CREDIT_CARD_NUMBER
