start,end,value,type,sample_idx
30.0,44.0,04938734727928,PHONE_NUMBER,50835
131.0,141.0,27/03/1976,DATE_OF_BIRTH,41825
157.0,165.0,Rijswijk,LOCATION,41825
166.0,174.0,Rijswijk,LOCATION,41825
48.0,64.0,CONTRACT_NR_4567,STREET_ADDRESS,38643
89.0,104.0,"april 19e, 1998",DATE_OF_BIRTH,38643
207.0,261.0,"Amsterdaam, Keizersgracht 456, 89, 1016 CH, Netherlands",STREET_ADDRESS,38643
311.0,316.0,34MPW,PERSON_NAME,38643
337.0,353.0,"januari 3e, 1948",DATE_OF_BIRTH,38643
376.0,394.0,weirauch@gmail.com,EMAIL_ADDRESS,38643
432.0,437.0,58284,US_SOCIAL_SECURITY_NUMBER,38643
25.0,33.0,Guagenti,PERSON_NAME,36622
55.0,66.0,Ciencarelli,PERSON_NAME,36622
98.0,116.0,RRW@protonmail.com,EMAIL_ADDRESS,36622
136.0,147.0,Reichhalter,PERSON_NAME,36622
178.0,184.0,Waseem,PERSON_NAME,36622
214.0,223.0,M@aol.com,EMAIL_ADDRESS,36622
241.0,247.0,Makkai,PERSON_NAME,36622
279.0,305.0,1940cristofani@outlook.com,EMAIL_ADDRESS,36622
325.0,335.0,Cristofani,PERSON_NAME,36622
372.0,377.0,14:57,DATE_OF_BIRTH,36622
246.0,252.0,UYI36X,DRIVING_LICENSE,41712
214.0,217.0,FVF,CREDIT_CARD_NUMBER,41712
349.0,351.0,Lu,PERSON_NAME,41712
149.0,164.0,sumesgutner1990,PERSON_NAME,41183
293.0,303.0,11schriefl,PERSON_NAME,41183
16.0,34.0,saiörgüc@gmail.com,EMAIL_ADDRESS,38148
125.0,152.0,munraphnvsf741050@gmail.com,EMAIL_ADDRESS,38148
242.0,257.0,2004d@yahoo.com,EMAIL_ADDRESS,38148
342.0,359.0,09BJB@outlook.com,EMAIL_ADDRESS,38148
73.0,118.0,"649, Tondensestraa, Brummen Tonden, GE, 6975",STREET_ADDRESS,50429
232.0,245.0,57.173.135.96,LOCATION,50429
296.0,302.0,a9Ic0_,CREDIT_CARD_NUMBER,50429
428.0,454.0,22 in Nederland op juli/57,DATE_OF_BIRTH,50429
114.0,125.0,LASTNAME1_A,PERSON_NAME,52128
175.0,189.0,oripbyey158674,USERNAME,52128
200.0,216.0,UC13@outlook.com,EMAIL_ADDRESS,52128
235.0,244.0,K61696156,ID_CARD_NUMBER,52128
264.0,279.0,V6 13 XL9ALLC 4,DRIVING_LICENSE_NUMBER,52128
298.0,307.0,K68Q3394A,PASSPORT_NUMBER,52128
111.0,143.0,prajakta.eppenberger@hotmail.com,EMAIL_ADDRESS,51664
189.0,207.0,PRAJA.461199.9.914,DRIVERLICENSE,51664
6.0,19.0,Nieuwe Zeeweg,STREET_ADDRESS,41588
28.0,37.0,Noordwijk,LOCATION,41588
47.0,59.0,Zuid-Holland,LOCATION,41588
72.0,79.0,2201 TM,POSTAL_CODE,41588
288.0,299.0,augustus/95,PERSON_NAME,50180
344.0,346.0,NL,LOCATION,50180
392.0,433.0,"970, Zaandammerdijk, De Waal, NH, 1793 EN",STREET_ADDRESS,50180
488.0,492.0,03/0,PERSON_NAME,50180
104.0,114.0,21/03/1987,DATE_OF_BIRTH,48747
269.0,279.0,20/06/1953,DATE_OF_BIRTH,48747
117.0,133.0,Y@protonmail.com,EMAIL_ADDRESS,40485
139.0,150.0,0K3189Y23I0,CREDIT_CARD_NUMBER,40485
156.0,165.0,Nederland,LOCATION,40485
171.0,174.0,436,NUMBER,40485
180.0,189.0,Schaansweg,STREET_ADDRESS,40485
195.0,206.0,Haaksbergen,LOCATION,40485
220.0,227.0,7481 TK,STREET_ADDRESS,40485
233.0,252.0,SECADDRESS_B()896,STREET_ADDRESS,40485
271.0,283.0,018 744-4782,PHONE_NUMBER,43502
472.0,486.0,Folasade Viali,PERSON_NAME,32312
114.0,125.0,E-mailadres,EMAIL_ADDRESS,53264
267.0,281.0,telefoonnummer,PHONE_NUMBER,53264
26.0,36.0,28/08/1972,DATE_OF_BIRTH,51986
103.0,118.0,"maart 18e, 1985",DATE_OF_BIRTH,51986
190.0,209.0,1961-09-13T00:00:00,DATE_OF_BIRTH,51986
277.0,290.0,"juni 5e, 1934",DATE_OF_BIRTH,51986
105.0,117.0,08117-379894,PHONE_NUMBER,56114
148.0,164.0,0012 88.746.2536,US_SOCIAL_SECURITY_NUMBER,56114
53.0,64.0,december/03,DATE_OF_BIRTH,34365
106.0,117.0,december/03,DATE_OF_BIRTH,34365
151.0,175.0,soukcraciunesc@yahoo.com,EMAIL_ADDRESS,34365
213.0,216.0,AAH,PERSON_NAME,34365
260.0,279.0,1982-03-08T00:00:00,DATE_OF_BIRTH,34365
321.0,340.0,1982-03-08T00:00:00,DATE_OF_BIRTH,34365
374.0,403.0,tkcwncakccuqbws161951@aol.com,EMAIL_ADDRESS,34365
441.0,444.0,HZE,PERSON_NAME,34365
140.0,156.0,04AJGG@gmail.com,EMAIL_ADDRESS,58284
179.0,188.0,6RPB83IGO,DRIVING_LICENSE_NUMBER,58284
215.0,247.0,"126, Voldijkje, Goirle, NB, 5053",STREET_ADDRESS,58284
270.0,278.0,Dorm 568,STREET_ADDRESS,58284
350.0,354.0,8322,POSTAL_CODE,58284
21.0,26.0,12345,PERSON_NAME,30004
243.0,248.0,Henny,PERSON_NAME,30004
16.0,29.0,1991ashamsaie,PERSON_NAME,32384
62.0,78.0,756.0988.8585.40,US_SOCIAL_SECURITY_NUMBER,32384
96.0,104.0,J8229188,PASSPORT,32384
297.0,307.0,06/09/1987,DATE_OF_BIRTH,45675
351.0,360.0,Koudinova,PERSON_NAME,45675
381.0,385.0,1944,DATE_OF_BIRTH,45675
94.0,111.0,ezguhaxkwuisju258,PERSON_NAME,41306
197.0,218.0,selvedina.el-gahawy94,PERSON_NAME,41306
331.0,341.0,ncharbon16,PERSON_NAME,41306
37.0,40.0,VNH,PERSON_NAME,48191
94.0,106.0,ABUM17SA949L,CREDIT_CARD_NUMBER,48191
155.0,157.0,21,DATE_OF_BIRTH,48191
210.0,217.0,Sharany,PERSON_NAME,48191
280.0,288.0,raquet30,PERSON_NAME,48191
360.0,368.0,raquet30,PERSON_NAME,48191
355.0,376.0,albieraquet@yahoo.com,EMAIL_ADDRESS,48191
437.0,440.0,AUS,PERSON_NAME,48191
59.0,61.0,44,STREET_ADDRESS,36625
83.0,89.0,Gooweg,STREET_ADDRESS,36625
109.0,140.0,Noordwijkerhout Noordwijkerhout,LOCATION,36625
161.0,163.0,ZH,LOCATION,36625
187.0,194.0,2211 XX,STREET_ADDRESS,36625
311.0,319.0,Waltraut,PERSON_NAME,36625
374.0,393.0,2022-01-22T00:00:00,DATE_OF_BIRTH,36625
226.0,263.0,a9c4:3472:588b:2685:e3:52f6:dcf0:6bae,LOCATION,36625
304.0,314.0,02/12/2002,DATE_OF_BIRTH,55626
287.0,298.0,"52.526, 4.9",LOCATION,55626
54.0,64.0,RNDK635894,CREDIT_CARD_NUMBER,52079
89.0,105.0,7e november 2020,DATE_OF_BIRTH,52079
